id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,en,English,0
5b72532a0b,"These are issues that we wrestle with in practice groups of law firms, she said. ",Practice groups are not permitted to work on these issues.,en,English,2
3931fbe82a,Little things like these make a huge difference in what I'm trying to do.,I tried to accomplish something.,en,French,0
5622f0c60b,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.,en,English,0
86aaa48b45,"To play the role as wellThe opportunity to be expressed and playing many roles can simultaneously. May help children catch similarities and the differences between people in terms of desire, beliefs and feelings",How can children see how different ethnicities?,en,Thai,1
ed7d6a1e62,"On a farm, you may have to cut these oxens that were closed on the network, this is probably the following, separate what to be installed.",People on the farm use different terms.,en,Turkish,0
5a0f4908a0,"When returning to the United States, the hedge met on the airport through the FBI agents, investigated, and the next day met the investigation of Osama bin Laden before the federal green jury.",Hague investigations were made by FBI personnel,en,Urdu,0
fdcd1bd867,From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.,en,English,2
7cfb3d272c,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",The boss will fire you if he sees you slacking off.,en,English,1
8c10229663,"After every one hundred degrees, the paint stains change their color, it can be red and change the color to blue.",The paint changes according to the color.,en,Russian,0
a1971593d5,"We may have not had anything we wanted or have seen that other people have, but it provided the necessary things we needed.",We had all we really needed.,en,Bulgarian,0
2bf4b86d4f,There are twenty percent interest,Could the interest be more than 20?,en,German,1
91b03f6bf4,"If possible, you know the preset plot.","Try to understand the love at first, if you can.",en,Arabic,0
4c25aa4c06,I hope that your lord can finally begin to realize that the stupid behavior against the King Committee against me against me.,Adults have just accepted my opinion and adopted corresponding actions.,en,Chinese,2
82f24422eb,"Modi claims that he went to Morocco's house to get married, but there was no reason to be injured in a car accident.",Majudi claimed that he went with the plan according to the plan.,en,Hindi,2
6d63ae6397,Children would hit the doors of their neighbors and,Children could go to their neighbors.,en,Swahili,0
dd4f0d9f25,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it. ",Many people have poisoned someone by mistake.,en,English,1
0a3f52c547,"My own little corner of the world, policy wonking, is an example.",An example is policy wonking.,en,English,0
4b0eca3ccb,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit BSing with the system,The system is corrupt because he won't be able to get parole if it's life and a day.,en,English,1
cad235551c,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",Vendors have lined the streets with torches and fires.,en,English,2
d8b3a4fb06,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.,en,English,2
ad5a79456e,"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.",en,English,0
a7b0b9498c,"It's just the beginning!""",A great journey is about to begin!,en,English,1
1ec4761d9d,"I assure you, sir that I was fully aware of everything.",From me hid a lot of details.,en,Russian,2
